"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"A T Still University of Health Sciences","800 W Jefferson, Kirksville, Missouri 63501","www.atsu.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","Town: Remote","Yes","3723","","NA","NA","Fall 2017","NA","-","177834","00247700"
"Aaniiih Nakoda College","269 Blackfeet Avenue, Harlem, Montana 59526","www.ancollege.edu/","4-year, primarily associate's, Public","One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Remote","No","115","115","32%","NA","Fall 2017","$10,527","-","180203","02517500"
"ABCO Technology","11222 S. La Cienega Blvd Ste 588, Inglewood, California 90304-1551","www.abcotechnology.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","117","117","100%","NA","Fall 2020","$14,659","Computer and Information Systems Security/Auditing/Information Assurance","485500","04242600"
"Abilene Christian University"," , Abilene, Texas 79699","www.acu.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Midsize","Yes","5079","3211","60%","NA","Fall 2017","$28,311","-","222178","00353700"
"Abilene Christian University-Undergraduate Online","16633 Dallas Parkway, Suite 800, Addison, Texas 75001","https://www.acu.edu/academics/online/undergraduate","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","No","766","766","NA","NA","Fall 2017","$12,764","-","497037","00353700"
"Abraham Baldwin Agricultural College","2802 Moore Hwy, Tifton, Georgia 31793-2601","https://www.abac.edu/","4-year, Public","Associate's degree|Bachelor's degree","Town: Distant","Yes","3647","3647","29%","41%","Fall 2017","$6,923","-","138558","00154100"
"Abraham Lincoln University","100 West Broadway, Suite 600, Glendale, California 91210","https://www.alu.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Midsize","No","177","48","NA","NA","Fall 2017","$24,825","-","488031","04243800"
"Academy College","1600 W. 82nd Street, Suite 100, Bloomington, Minnesota 55431-1411","www.academycollege.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree","City: Small","No","105","105","100%","NA","Fall 2017","$29,280","-","172866","02050300"
"Academy for Five Element Acupuncture","305 SE 2nd Ave, Gainesville, Florida 32601","www.acupuncturist.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","No","73","","NA","NA","Fall 2017","NA","-","451079","04133500"
"Academy for Jewish Religion","28 Wells Ave, Yonkers, New York 10701","https://ajr.edu/","4-year, Private not-for-profit","Master's degree|Post-master's certificate","Suburb: Large","No","69","","NA","NA","Fall 2017","NA","-","497718","04293600"
"Academy for Jewish Religion California","1LMU Drive, STE 3400, Los Angeles, California 90045","www.ajrca.edu/","4-year, Private not-for-profit","Master's degree","City: Large","No","68","","NA","NA","Fall 2017","NA","-","457271","04155500"
"Academy for Nursing and Health Occupations","5154 Okeechobee Blvd Ste 201, West Palm Beach, Florida 33417","www.anho.edu/","2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","506","506","52%","NA","Fall 2020","$20,079","Registered Nursing/Registered Nurse","412173","03346300"
"Academy of Art University","79 New Montgomery, San Francisco, California 94105","www.academyart.edu/","4-year, Private for-profit","Less than one year certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","6786","4555","40%","19%","Fall 2017","$36,591","-","108232","00753100"
"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California 94612","www.acchs.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship","City: Large","No","111","","NA","NA","Fall 2017","NA","-","108269","03288300"
"Academy of Interactive Entertainment","537 Cajundome Boulevard #211, Lafayette, Louisiana 70506-4293","lafayette.aie.edu/","2-year, Private not-for-profit","Associate's degree|Two but less than 4 years certificate","City: Midsize","No","94","94","100%","NA","Fall 2020","$32,896","-","487658","04248400"
"Academy of Vocal Arts","1920 Spruce St, Philadelphia, Pennsylvania 19103-6685","www.avaopera.org/","4-year, Private not-for-profit","Postbaccalaureate certificate","City: Large","No","","","NA","NA","Fall 2017","NA","-","210508","03353300"
"Acupuncture and Integrative Medicine College-Berkeley","2550 Shattuck Avenue, Berkeley, California 94704","https://www.aimc.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","116","","NA","NA","Fall 2017","NA","-","384306","03327400"
"Acupuncture and Massage College","10506 N Kendall Drive, Miami, Florida 33176","www.amcollege.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","No","138","67","79%","NA","Fall 2017","$34,954","-","439969","03414500"
"Adams State University","208 Edgemont Blvd, Alamosa, Colorado 81101","www.adams.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Remote","Yes","2854","1588","32%","45%","Fall 2017","$13,800","-","126182","00134500"
"Adelphi University","1 South Ave, Garden City, New York 11530-0701","www.adelphi.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","7252","5055","69%","21%","Fall 2017","$28,671","-","188429","00266600"
"Adler Graduate School","10225 Yellow Circle Dr., Minnetonka, Minnesota 55343","www.alfredadler.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","No","227","","NA","NA","Fall 2017","NA","-","374024","03051900"
"Adler University","17 North Dearborn Street, Chicago, Illinois 60602","https://www.adler.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","1841","9","NA","NA","Fall 2017","NA","-","142832","02068100"
"Adrian College","110 S Madison St, Adrian, Michigan 49221-2575","www.adrian.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Distant","Yes","1821","1747","56%","23%","Fall 2017","$22,053","-","168528","00223400"
"Advance Science International College","5190 nw 167 st STE 200, Miami Lakes, Florida 33014","www.asicollege.edu/","2-year, Private for-profit","Associate's degree","Suburb: Large","No","92","92","100%","NA","Fall 2020","$31,064","Registered Nursing/Registered Nurse","444334","03757300"
"Advanced Technology Institute","5700 Southern Blvd Ste 100, Virginia Beach, Virginia 23462","www.auto.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","459","459","73%","NA","Fall 2020","$19,127","-","231411","03127500"
"AdventHealth University","671 Winyah Drive, Orlando, Florida 32803","www.ahu.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","Yes","1610","1110","36%","55%","Fall 2017","$30,340","-","133872","03115500"
"Agape College of Business and Science","1313 P Street, Fresno, California 93721-1827","https://www.acbscollege.org/","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","37","37","NA","NA","Fall 2017","$18,571","-","496399","04292900"
"Agnes Scott College","141 E. College Ave., Decatur, Georgia 30030-3770","www.agnesscott.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","1114","1006","71%","NA","Fall 2017","$25,609","-","138600","00154200"
"Aiken Technical College","2276 Jefferson Davis Highway, Graniteville, South Carolina 29829","https://www.atc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","2121","2121","19%","9%","Fall 2020","$5,848","-","217615","01005600"
"Aims Community College","5401 W. 20th St., Greeley, Colorado 80634","www.aims.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","7178","7178","35%","9%","Fall 2017","$7,651","-","126207","00758200"
"Air Force Institute of Technology-Graduate School of Engineering & Management","2950 Hobson Way, Wright-Patterson AFB, Ohio 45433-7765","www.afit.edu/","4-year, Public","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","1048","","NA","NA","Fall 2017","NA","-","200697","00300900"
"Alabama A & M University","4900 Meridian Street, Normal, Alabama 35762","www.aamu.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","6007","5206","29%","31%","Fall 2017","$14,064","-","100654","00100200"
"Alabama College of Osteopathic Medicine","445 Health Sciences Boulevard, Dothan, Alabama 36303-2251","https://www.acom.edu/","4-year, Private not-for-profit","Doctor's degree - professional practice","City: Small","No","761","","NA","NA","Fall 2017","NA","-","483975","04226700"
"Alabama State University","915 S Jackson Street, Montgomery, Alabama 36104-0271","www.alasu.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","3828","3296","30%","33%","Fall 2017","$13,504","-","100724","00100500"
"Alamance Community College","1247 Jimmie Kerr Road, Graham, North Carolina 27253-8000","www.alamancecc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","3939","3939","30%","NA","Fall 2020","$18,766","-","199786","00546300"
"Alaska Bible College","248 E Elmwood Ave, Palmer, Alaska 99645","www.akbible.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Small","Yes","39","39","100%","NA","Fall 2017","$14,844","-","102580","00884300"
"Alaska Career College","1415 E Tudor Road, Anchorage, Alaska 99507-1033","www.alaskacareercollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","268","268","65%","NA","Fall 2020","$17,795","Medical/Clinical Assistant","103501","02541000"
"Alaska Christian College","35109 Royal Place, Soldotna, Alaska 99669","www.alaskacc.edu/","2-year, Private not-for-profit","Associate's degree","Rural: Fringe","Yes","77","77","12%","5%","Fall 2020","$7,443","-","442523","04138600"
"Alaska Pacific University","4101 University Dr, Anchorage, Alaska 99508","www.alaskapacific.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","Yes","595","490","47%","34%","Fall 2017","$23,667","-","102669","00106100"
